Column 1	Column 2	Column 3	Column 4	PubMed Link	Figshare ID	Download Link
ADHD	ADHD	adhd2022	Nature Genetics	https://pubmed.ncbi.nlm.nih.gov/36702997	10.6084/m9.figshare.22564390	https://doi.org/10.6084/m9.figshare.22564390
ADHD	ADHD	adhd2019	Nature Genetics	https://pubmed.ncbi.nlm.nih.gov/30478444	10.6084/m9.figshare.14671965	https://doi.org/10.6084/m9.figshare.14671965
